name,Manufacturer,Part #,Form Factor,Interface,Buffer Cache,BD-ROM Speed,DVD-ROM Speed,CD-ROM Speed,BD-R Speed,BD-R Dual-Layer Speed,BD-RE Speed,BD-RE Dual-Layer Speed,DVD+R Speed,DVD+RW Speed,DVD+R Dual-Layer Speed,DVD-R Speed,DVD-RW Speed,DVD-R Dual-Layer Speed,DVD-RAM Speed,CD-R Speed,CD-RW Speed,User Rating,Price
HP DVD1265I,HP,DVD1265I,"5.25""",SATA 6.0 Gb/s,1 MB,,16X,48X,,,,,24X,8X,12X,24X,6X,12X,,48X,32X,"(18 Ratings, 4.1 Average)",
Pioneer BDR-S09XLT,Pioneer,BDR-S09XLT,"5.25""",SATA 6.0 Gb/s,,,5X,40X,12X,8X,10X,6X,16X,12X,12X,16X,12X,12X,5X,40X,24X,,
Samsung SH-B123L,Samsung,SH-B123L,"5.25""",SATA 3.0 Gb/s,2 MB,12X,16X,48X,,,,,16X,8X,8X,16X,6X,8X,12X,48X,4X,"(3 Ratings, 3.3 Average)",
Gear Head 24XDVDINTLS,Gear Head,24XDVDINTLS,"5.25""",SATA 3.0 Gb/s,,,,,,,,,24X,8X,12X,24X,,12X,12X,,,,
Asus DVD-E818AAT/BLK/B/GEN,Asus,DVD-E818AAT/BLK/B/GEN,"5.25""",SATA 3.0 Gb/s,,,18X,48X,,,,,,,,,,,,,,"(8 Ratings, 4.0 Average)",
Lite-On DS-8ABSH-01,Lite-On,DS-8ABSH-01,"5.25"" Slim",SATA 3.0 Gb/s,,,8X,24X,,,,,8X,8X,6X,8X,6X,6X,5X,24X,24X,"(1 Rating, 5.0 Average)",
LG BH12LS35,LG,BH12LS35,"5.25""",SATA 6.0 Gb/s,,,,,12X,12X,2X,2X,16X,12X,12X,16X,12X,12X,12X,48X,24X,"(1 Rating, 5.0 Average)",
Samsung SH-224FB,Samsung,SH-224FB,"5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,24X,8X,8X,24X,6X,8X,5X,48X,24X,,
LG BH12LS38,LG,BH12LS38,"5.25""",SATA 6.0 Gb/s,4 MB,12X,16X,48X,12X,12X,2X,2X,16X,8X,8X,16X,6X,8X,12X,48X,24X,,
Lite-On IHBS112-04,Lite-On,IHBS112-04,"5.25""",SATA 3.0 Gb/s,,8X,16X,48X,12X,8X,2X,2X,16X,8X,8X,16X,6X,8X,12X,48X,48X,"(9 Ratings, 4.0 Average)",
Samsung SH-222AB,Samsung,SH-222AB,"5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,22X,8X,16X,22X,6X,12X,12X,48X,24X,"(9 Ratings, 4.8 Average)",
Samsung SH-222AL/BSBS,Samsung,SH-222AL/BSBS,"5.25""",SATA 1.5 Gb/s,1.5 MB,,22X,48X,,,,,22X,8X,16X,22X,6X,12X,12X,48X,24X,"(5 Ratings, 4.8 Average)",
LG GH24NS95,LG,GH24NS95,"5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,24X,8X,8X,24X,6X,8X,5X,48X,24X,"(137 Ratings, 4.4 Average)",
Samsung SN-208DB/BEBET,Samsung,SN-208DB/BEBET,"5.25"" Slim",SATA 3.0 Gb/s,1 MB,,8X,24X,,,,,8X,8X,6X,8X,6X,6X,5X,24X,24X,"(1 Rating, 4.0 Average)",
Lite-On iHBS212-08,Lite-On,iHBS212-08,"5.25""",SATA 3.0 Gb/s,8 MB,8X,16X,48X,12X,8X,2X,2X,16X,8X,8X,16X,6X,8X,12X,48X,24X,"(1 Rating, 5.0 Average)",
MSI DH-18D4P,MSI,DH-18D4P,"5.25""",PATA 100,,,18X,48X,,,,,,,,,,,,,,,
Samsung TS-H353C,Samsung,TS-H353C,"5.25""",SATA 3.0 Gb/s,,,16X,40X,,,,,,,,,,,,,,"(1 Rating, 4.0 Average)",
LG GH24NS90,LG,GH24NS90,"5.25""",SATA 3.0 Gb/s,2 MB,,16X,48X,,,,,24X,8X,8X,24X,6X,8X,12X,48X,32X,"(41 Ratings, 4.3 Average)",
Pioneer BDR-207MBK,Pioneer,BDR-207MBK,"5.25""",SATA 3.0 Gb/s,4 MB,10X,16X,40X,12X,12X,2X,2X,16X,8X,8X,16X,6X,8X,5X,40X,24X,"(2 Ratings, 5.0 Average)",
LG UH12LS29,LG,UH12LS29,"5.25""",SATA 3.0 Gb/s,4 MB,10X,16X,48X,,,,,16X,8X,8X,16X,6X,8X,12X,48X,24X,,
Samsung SN-208FB/BEBE,Samsung,SN-208FB/BEBE,"5.25"" Slim",SATA 3.0 Gb/s,,,8X,24X,,,,,8X,8X,6X,8X,6X,6X,5X,24X,,"(2 Ratings, 3.5 Average)",
Asus DRW-24D3ST,Asus,DRW-24D3ST,"5.25""",SATA 6.0 Gb/s,,,16X,48X,,,,,16X,13X,12X,16X,8X,12X,5X,48X,40X,"(2 Ratings, 4.0 Average)",
Samsung SH-224FB/RSMS,Samsung,SH-224FB/RSMS,"5.25""",SATA 6.0 Gb/s,,,,,,,,,24X,8X,8X,24X,8X,8X,5X,48X,24X,"(6 Ratings, 4.2 Average)",
LG GGC-H20L,LG,GGC-H20L,"5.25""",SATA 3.0 Gb/s,4 MB,6X,16X,40X,,,,,,,,,,,,,,"(1 Rating, 5.0 Average)",
Asus DRW-24F1MT,Asus,DRW-24F1MT,"5.25""",SATA 6.0 Gb/s,,,,,,,,,24X,8X,8X,24X,6X,8X,5X,48X,24X,,
LG GUD0N,LG,GUD0N,"5.25"" Slim",SATA 3.0 Gb/s,0.5 MB,,,,,,,,8X,6X,6X,8X,6X,6X,5X,24X,24X,,$43.50
