name,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader
Corsair Vengeance RGB Pro 16 GB         (384),Corsair,CMW16GX4M2C3200C16,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,$3.499,Black,10 ns,16,1.35 V,16-18-18-36,Non-ECC / Unbuffered,Yes
Corsair Vengeance LPX 64 GB         (19),Corsair,CMK64GX4M2E3200C16,DDR4-3200,288-pin DIMM (DDR4),2 x 32GB,$1.453,Black / Yellow,10 ns,16,1.35 V,16-20-20-38,Non-ECC / Unbuffered,Yes
Corsair Vengeance RGB 32 GB         (67),Corsair,CMH32GX5M2B6000Z30K,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$3.750,Gray,10 ns,30,1.4 V,30-36-36-76,Non-ECC / Unbuffered,Yes
G.Skill Flare X5 64 GB         (24),G.Skill,F5-6000J3040G32GX2-FX5,DDR5-6000,288-pin DIMM (DDR5),2 x 32GB,$3.047,Black,10 ns,30,1.4 V,30-40-40-96,Non-ECC / Unbuffered,Yes
G.Skill Trident Z RGB 32 GB         (31),G.Skill,F4-3600C18D-32GTZR,DDR4-3600,288-pin DIMM (DDR4),2 x 16GB,$2.187,Black,10 ns,18,1.35 V,18-22-22-42,Non-ECC / Unbuffered,Yes
TEAMGROUP T-Create Expert 32 GB         (29),TEAMGROUP,CTCWD532G6000HC30DC01,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$2.968,White,10 ns,30,1.35 V,30-36-36-76,Non-ECC / Unbuffered,Yes
Corsair Vengeance 32 GB         (5),Corsair,CMK32GX5M2E6000C36,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$2.812,Black,12 ns,36,1.4 V,36-44-44-96,Non-ECC / Unbuffered,Yes
TEAMGROUP T-Force Vulcan 32 GB         (17),TEAMGROUP,FLBD532G6000HC30DC01,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$3.031,Black,10 ns,30,1.35 V,30-36-36-76,Non-ECC / Unbuffered,Yes
G.Skill Trident Z5 Royal Neo RGB 32 GB         (10),G.Skill,F5-6000J2836G16GX2-TR5NS,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$4.687,Silver,9.333 ns,28,1.4 V,28-36-36-96,Non-ECC / Unbuffered,Yes
Corsair Vengeance 32 GB         (5),Corsair,CMK32GX5M2E6000Z36,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$3.125,Black,12 ns,36,1.4 V,36-44-44-96,Non-ECC / Unbuffered,Yes
Kingston FURY Beast 16 GB         (19),Kingston,KF432C16BBK216,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,$2.744,Black,10 ns,16,1.35 V,,Non-ECC / Unbuffered,Yes
Corsair Vengeance RGB 192 GB         (0),Corsair,CMH192GX5M4B5200C38,DDR5-5200,288-pin DIMM (DDR5),4 x 48GB,$3.125,Black,14.615 ns,38,1.25 V,38-38-38-84,Non-ECC / Unbuffered,Yes
Kingston FURY Beast 64 GB         (5),Kingston,KF560C30BBEK2-64,DDR5-6000,288-pin DIMM (DDR5),2 x 32GB,$3.125,Black,10 ns,30,1.4 V,,Non-ECC / Unbuffered,Yes
Corsair Vengeance RGB 32 GB         (9),Corsair,CMH32GX5M2B6400C36,DDR5-6400,288-pin DIMM (DDR5),2 x 16GB,$2.812,Black,11.25 ns,36,1.4 V,36-48-48-104,Non-ECC / Unbuffered,Yes
Kingston FURY Beast RGB 32 GB         (9),Kingston,KF560C30BBEAK2-32,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$3.750,Black,10 ns,30,1.4 V,,Non-ECC / Unbuffered,Yes
Crucial CP2K64G56C46U5 128 GB         (0),Crucial,CP2K64G56C46U5,DDR5-5600,288-pin DIMM (DDR5),2 x 64GB,$2.344,Black,16.429 ns,46,1.1 V,,Non-ECC / Unbuffered,Yes
Corsair Dominator Titanium 64 GB         (1),Corsair,CMP64GX5M2X6600C32,DDR5-6600,288-pin DIMM (DDR5),2 x 32GB,$4.922,Black,9.697 ns,32,1.4 V,32-39-39-76,Non-ECC / Unbuffered,Yes
Silicon Power GAMING 32 GB         (24),Silicon Power,SP032GXLZU320BDAJ7,DDR4-3200,288-pin DIMM (DDR4),2 x 16GB,$1.405,Black,10 ns,16,1.35 V,16-18-18-36,Non-ECC / Unbuffered,Yes
Corsair Vengeance 64 GB         (3),Corsair,CMK64GX5M2B6000Z30,DDR5-6000,288-pin DIMM (DDR5),2 x 32GB,$3.203,Black / Gray,10 ns,30,1.4 V,30-36-36-76,Non-ECC / Unbuffered,Yes
Patriot Viper Venom 32 GB         (4),Patriot,PVV532G640C32K,DDR5-6400,288-pin DIMM (DDR5),2 x 16GB,$2.343,Black / White,10 ns,32,1.4 V,32-40-40-84,Non-ECC / Unbuffered,Yes
G.Skill Ripjaws V 16 GB         (236),G.Skill,F4-3200C16D-16GVKB,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,$2.062,Black,10 ns,16,1.35 V,,Non-ECC / Unbuffered,Yes
Crucial Pro Overclocking 32 GB         (7),Crucial,CP2K16G60C36U5W,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$2.937,White,12 ns,36,1.35 V,36-38-38-80,Non-ECC / Unbuffered,Yes
Silicon Power XPOWER Zenith Gaming 32 GB         (2),Silicon Power,"SP032GXLWU60AFDG, SU032GXLWU60AFDGSW, SU032GXLWU60AFDGAB",DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$2.593,White,10 ns,30,1.35 V,30-38-38-96,Non-ECC / Unbuffered,Yes
Crucial Classic 16 GB         (1),Crucial,CT2K8G56C46U5,DDR5-5600,288-pin DIMM (DDR5),2 x 8GB,$2.749,Black,16.429 ns,46,1.1 V,,Non-ECC / Unbuffered,No
G.Skill Trident Z5 RGB 48 GB         (0),G.Skill,F5-8400J4052G24GX2-TZ5RK,DDR5-8400,288-pin DIMM (DDR5),2 x 24GB,$5.416,Black,9.524 ns,40,1.4 V,40-52-52-134,Non-ECC / Unbuffered,Yes
