name,Manufacturer,Part #,Capacity (W),Capacity (VA),Backup/Run Time (Full Load),Backup/Run Time (Half Load),Battery Chemistry,Dataline Protection,Form Factor,Input Voltage,Maximum Battery Recharge Time,Output Voltage,Receptacles,Waveform Type,User Rating,Price
CyberPower PR5000LCDRTXL5U,CyberPower,PR5000LCDRTXL5U,4000 W,5000 VA,11 Minutes,31 Minutes,Sealed Lead Acid,"RJ-11, RJ-45",Rack-mountable,220 V AC,8 Hour,208 V AC,"3 x NEMA L6-30R, 2 x NEMA L6-20R",,,$4708.95
CyberPower AVRG900U,CyberPower,AVRG900U,480 W,900 VA,10 Minutes,2 Minutes,Sealed Lead Acid,RJ-11,Desktop,120 V AC,8 Hour,120 V AC,12 x NEMA 5-15R,Simulated Sine Wave,,$119.95
APC BE850G2,APC,BE850G2,450 W,850 VA,2 Minutes 23 Seconds,,,,,,,,,Stepped Sine Wave,,$139.99
CyberPower CP900AVR,CyberPower,CP900AVR,560 W,900 VA,3 Minutes,12 Minutes,Sealed Lead Acid,"Type F Connector, RJ-45, RJ-11",Tower,110 V AC,8 Hour,120 V AC,4 x NEMA 5-15R,Simulated Sine Wave,,$159.95
CyberPower CP1300EPFCLCD,CyberPower,CP1300EPFCLCD,780 W,1300 VA,,,,,,,,,,,"(1 Rating, 5.0 Average)",
APC BN1100M2,APC,BN1100M2,600 W,1100 VA,,,,,,,,,,,"(1 Rating, 5.0 Average)",$444.22+
APC Back-UPS Pro 1350VA,APC,BN1350M2,810 W,1350 VA,,,,,,,,,,,,$193.37
APC BE650G1,APC,BE650G1,390 W,650 VA,3 Minutes,12 Minutes,Lead Acid,RJ-45,Desktop,110 V AC,24 Hour,120 V AC,4 x NEMA 5-15R,,,$94.99
APC SMT2200I,APC,SMT2200I,1980 W,2200 VA,7 Minutes,24 Minutes,Lead Acid,,Tower,,,230 V AC,,,,
APC SMX3000RMLV2UNC,APC,SMX3000RMLV2UNC,2700 W,3000 VA,6 Minutes,18 Minutes,Lead Acid,,Rack-mountable,110 V AC,3 Hour,120 V AC,"3 x NEMA 5-15R, 3 x NEMA 5-20R, 1 x NEMA L5-30R",,,$2216.51+
CyberPower GX1500U,CyberPower,GX1500U,900 W,1500 VA,2 Minutes,11 Minutes,,Network,Mini-Tower,,,,,Sine Wave,,$229.99
CyberPower CP1500PFCLCDTAA,CyberPower,CP1500PFCLCDTAA,900 W,1500 VA,1.98 Minutes,10.98 Minutes,Sealed Lead Acid,"RJ-45, RG-6, RJ-11",Tower,110 V AC,8 Hour,120 V AC,10 x NEMA 5-15R,Sine Wave,,$309.95
Tripp Lite SU1500XLCD,Tripp Lite,SU1500XLCD,1350 W,1500 VA,4.50 Minutes,14 Minutes,,,Tower,110 V AC,3 Hour,"127 V AC, 110 V AC, 120 V AC",6 x NEMA 5-15R,,,$1008.68+
APC SMT1500I,APC,SMT1500I,980 W,1500 VA,7 Minutes,24 Minutes,Lead Acid,,Tower,,,230 V AC,,,,$1010.33+
Tripp Lite ECO750UPS,Tripp Lite,ECO750UPS,450 W,750 VA,,,,RJ-11,Desktop,110 V AC,20 Hour,120 V AC,6 x NEMA 5-15R,,,$99.00+
Tripp Lite SMART2200NET,Tripp Lite,SMART2200NET,1700 W,2200 VA,11 Minutes,27 Minutes,Sealed Lead Acid,,Tower,110 V AC,4 Hour,120 V AC,6 x NEMA 5-15R,Pulse-width Modulated Sine Wave,,$1168.99
Tripp Lite SMART3000NET,Tripp Lite,SMART3000NET,2400 W,3000 VA,7 Minutes,23 Minutes,Sealed Lead Acid,,Tower,110 V AC,4 Hour,120 V AC,"4 x NEMA 5-15R, 4 x NEMA 5-20R",,,$1399.99
CyberPower CP900EPFCLCD,CyberPower,CP900EPFCLCD,540 W,900 VA,1 Minutes,7 Minutes,Sealed Lead Acid,"RJ-11, RJ-45",Tower,230 V AC,,230 V AC,,Pure Sine Wave,,
APC SRT8KRMXLT,APC,SRT8KRMXLT,8000 W,8000 VA,5 Minutes,,,,Rack-mountable,208 V AC,1.50 Hour,208 V AC,"1 x Hard Wire 3-wire (2PH + G), 4 x NEMA L6-20R, 2 x NEMA L6-30R",,,$4580.00+
CyberPower CP1500EPFCLCD,CyberPower,CP1500EPFCLCD,900 W,1500 VA,,,,,,,,,,,,
APC SUA2200RM2U,APC,SUA2200RM2U,1980 W,2200 VA,5.20 Minutes,15.70 Minutes,Sealed Lead Acid,,,110 V AC,3 Hour,120 V AC,"6 x NEMA 5-15R, 2 x NEMA 5-20R",Sine Wave,,$999.99+
Tripp Lite SMART1500LCD,Tripp Lite,SMART1500LCD,900 W,1500 VA,3.50 Minutes,13 Minutes,,RJ-45,Tower/Rack Mountable,110 V AC,8 Hour,120 V AC,8 x NEMA 5-15R,Pulse-width Modulated Sine Wave,"(1 Rating, 4.0 Average)",$291.58
CyberPower CP1500AVRT,CyberPower,CP1500AVRT,900 W,1500 VA,3 Minutes,11 Minutes,Sealed Lead Acid,"Type F Connector, RJ-45, RJ-11",Tower,110 V AC,8 Hour,120 V AC,4 x NEMA 5-15R,Simulated Sine Wave,,$209.99
HP AF450A,HP,AF450A,950 W,1400 VA,5 Minutes,15 Minutes,Sealed Valve-regulated Lead Acid (VRLA),,Tower,110 V AC,24 Hour,240 V AC,6 x NEMA 5-15R,,,$195.00+
APC SMC1500,APC,SMC1500,900 W,1500 VA,4 Minutes,13 Minutes,Sealed Lead Acid,,Tower,110 V AC,3 Hour,120 V AC,8 x NEMA 5-15R,,,$499.99+
APC SMT2200US,APC,SMT2200US,1980 W,2200 VA,8 Minutes,22 Minutes,Sealed Lead Acid,,Tower,110 V AC,3 Hour,120 V AC,"8 x NEMA 5-15R, 2 x NEMA 5-20R",,,$1650.80+
APC SMX2200HV,APC,SMX2200HV,1980 W,2200 VA,10 Minutes,25 Minutes,Sealed Lead Acid,,Tower/Rack Mountable,,3 Hour,220 V AC,,Sine Wave,,$1999.99+
APC SRT6KRMXLI,APC,SRT6KRMXLI,6000 W,6000 VA,2 Minutes,8 Minutes,Sealed Lead Acid,,Rack-mountable,,3 Hour,230 V AC,,Sine Wave,,$7719.99
Tripp Lite SU1500RTXLCD2U,Tripp Lite,SU1500RTXLCD2U,1350 W,1500 VA,4.20 Minutes,14 Minutes,,,Tower/Rack Mountable,110 V AC,3 Hour,"127 V AC, 110 V AC, 120 V AC, 115 V AC",6 x NEMA 5-15R,,,$1125.99+
Tripp Lite SMT1500LCDT,Tripp Lite,SMT1500LCDT,900 W,1500 VA,,,,"RJ-11, RJ-45, RG-6",Tower,,,,10 x AC Power,,"(2 Ratings, 5.0 Average)",$285.99
CyberPower CP850AVRLCD,CyberPower,CP850AVRLCD,510 W,850 VA,1 Minute,7 Minutes,Sealed Lead Acid,"RG-6, RJ-45, RJ-11",Tower,110 V AC,8 Hour,120 V AC,"5 x NEMA 5-15R, 4 x NEMA 5-15R",,,$164.95
Belkin F6H650-SER,Belkin,F6H650-SER,360 W,650 VA,35 Minutes,,,,,,,,8 x Power Switch,,,$71.02
Eaton 66942,Eaton,66942,250 W,500 VA,,,,,,,,,,,,
APC Back-UPS Pro 1350S,APC,BR1350MS,810 W,1350 VA,,,,,,,,,,,,$232.03
APC SRT5KXLT,APC,SRT5KXLT,4250 W,5000 VA,,,,,Tower,208 V AC,1.50 Hour,208 V AC,"2 x NEMA L6-20R, 2 x NEMA L6-30R",,,$3190.00+
Tripp Lite OMNI1500LCDT,Tripp Lite,OMNI1500LCDT,810 W,1500 VA,,7.50 Minutes,,,Tower,110 V AC,8 Hour,120 V AC,5 x NEMA 5-15R,,,$184.42
APC BR1000G,APC,BR1000G,600 W,1000 VA,7 Minutes,20 Minutes,Sealed Lead Acid,RJ-45,Tower,110 V AC,8 Hour,120 V AC,4 x NEMA 5-15R,,"(4 Ratings, 4.8 Average)",$239.00+
