name,Manufacturer,Model,Part #,Channels,Digital Audio,Signal-To-Noise Ratio,Sample Rate,Chipset,Interface,Color
Creative Labs Recon3D Fatal1ty Professional         (4),Creative Labs,Recon3D Fatal1ty Professional,"70SB135600000, SB-RECON3D-FPRO",5.1,24-bit,102 dB,96 kHz,Sound Core3D,PCIe x1,
Creative Labs Recon3D PCIe         (4),Creative Labs,Recon3D PCIe,"70SB135000000, SB-RECON3D-PCIE",5.1,24-bit,102 dB,96 kHz,Sound Core3D,PCIe x1,
Creative Labs Sound Blaster X-Fi         (0),Creative Labs,Sound Blaster X-Fi,SB0670,7.1,24-bit,109 dB,192 kHz,,PCI,Black
PPA International 1431v         (0),PPA International,,1431v,5.1,16-bit,,,,PCI,
Asus Xonar D1         (5),Asus,,"Xonar D1, 90-YAA0B0-0UAN00Z",7.1,24-bit,116 dB,192 kHz,ASUS AV100,PCI,
Rosewill RC-703         (0),Rosewill,,RC-703,7.1,,,44.1 kHz,,PCIe x1,
SIIG IC-510111-S2         (0),SIIG,,IC-510111-S2,5.1,24-bit,90 dB,96 kHz,VIA VT1723,PCIe x1,
HT Omega Claro Halo         (1),HT Omega,,Claro Halo,5.1,24-bit,,192 kHz,C-Media CMI8788,PCI,
Creative Labs Sound Blaster Audigy SE OEM         (5),Creative Labs,Sound Blaster Audigy SE OEM,30SB057000000,7.1,24-bit,100 dB,96 kHz,,PCI,Black
Turtle Beach TBS-3429         (0),Turtle Beach,,TBS-3429,5.1,24-bit,,48 kHz,,PCI,
Syba SD-PEX63034         (0),Syba,,SD-PEX63034,7.1,24-bit,,48 kHz,,PCIe x1,
PowerColor DEVIL HDX 7.1         (0),PowerColor,DEVIL HDX 7.1,SCM888-DHDX,7.1,,124 dB,192 kHz,,PCIe x1,
HT Omega Claro Halo XT         (0),HT Omega,,Claro Halo XT,7.1,24-bit,,192 kHz,C-Media CMI8788,PCI,
HT Omega eClaro         (1),HT Omega,,eClaro,7.1,24-bit,,192 kHz,C-Media CMI8788,PCIe x1,
Asus Xonar DS         (1),Asus,,Xonar DS,7.1,24-bit,107 dB,192 kHz,ASUS AV200,PCI,
SIIG LP-000022-S2         (0),SIIG,,LP-000022-S2,5.1,24-bit,90 dB,96 kHz,VIA VT1723,PCI,
M-Audio US41500C         (0),M-Audio,US41500C,AUDIOPHILE2496,2.0,24-bit,104 dB,96 kHz,,PCI,
SIIG IC-510012-S2         (2),SIIG,,IC-510012-S2,5.1,16-bit,68 dB,,,PCI,
HT Omega FENIX         (0),HT Omega,,FENIX,7.1,24-bit,,192 kHz,,PCIe x1,
Creative Labs Sound Blaster Audigy Rx OEM         (0),Creative Labs,Sound Blaster Audigy Rx OEM,30SB155000001,7.1,24-bit,106 dB,192 kHz,Creative E-MU,PCIe x1,Black
Creative Labs Sound Blaster X-Fi Xtreme Audio         (1),Creative Labs,Sound Blaster X-Fi Xtreme Audio,30SB079200000,7.1,24-bit,108 dB,96 kHz,,PCI,
Encore ENM232-6VIA         (0),Encore,,ENM232-6VIA,5.1,24-bit,,96 kHz,VIA VT1723,PCI,
