name,Manufacturer,Model,Part #,Resolution,Connection,Focus Type,Operating System,FOV Angle,Sensor Pixels,Privacy Shutter,Built-In Lighting,Automatic Lighting Adjust
Logitech C505         (2),Logitech,C505,960-001363,720p,USB 2.0 Type-A,Fixed,"Windows, OS X, ChromeOS",60°,,No,No,Yes
Green Extreme T1000         (0),Green Extreme,T1000,GX-T1000,1080p,USB 2.0 Type-A,Auto,"Windows, OS X",120°,,No,No,Yes
Microsoft LifeCam HD-3000         (2),Microsoft,LifeCam HD-3000,T4H-00002,720p,USB 2.0 Type-A,Fixed,"Windows, OS X",,,No,No,Yes
Logitech C615 Portable         (8),Logitech,C615 Portable,960-000733,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",78°,,No,No,Yes
Logitech C505e         (0),Logitech,C505e,960-001385,720p,USB 2.0 Type-A,Fixed,"Windows, OS X, ChromeOS",60°,,No,No,Yes
Logitech C310         (1),Logitech,C310,960-000585,720p,USB 2.0 Type-A,Fixed,"Windows, OS X, ChromeOS, Android",60°,,No,No,Yes
VDO360 2SEE         (0),VDO360,2SEE,VDOS4M,"1080p, 720p",USB 2.0 Type-A,,"Windows, OS X, Linux, Android",75°,2 MP,No,No,Yes
OBSBOT MEET 2         (0),OBSBOT,,"MEET 2 Aurora Green, OWB-2311-CEGR","4k, 1080p, 720p, 480p",USB 2.0 Type-C,Auto,"Windows, OS X",79.4°,48 MP,No,No,
Microsoft LifeCam CinemaaFor Business         (0),Microsoft,LifeCam CinemaaFor Business,6CH-00001,720p,USB 2.0 Type-A,Auto,"Windows, OS X",,1 MP,No,No,Yes
Anker PowerConf C302         (0),Anker,PowerConf C302,"A3362, A3362011","2k, 1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",115°,5 MP,Yes,No,
OBSBOT Tiny         (0),OBSBOT,Tiny,OWB-2004-CE,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X",86°,,No,No,
Microsoft Lifecam Cinema         (1),Microsoft,Lifecam Cinema,H5D-00013,720p,USB 2.0 Type-A,Auto,Windows,73°,5 MP,No,No,Yes
