name,Manufacturer,Part #,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME,Full Disk Write Throughput,Full Disk Write Throughput (Lowest 10 Seconds),Random Read Throughput QD1,Random Read Throughput QD32,Random Write Throughput QD1,Random Write Throughput QD32,Sequential Read Throughput QD1,Sequential Read Throughput QD4,Sequential Write Throughput QD1,Sequential Write Throughput QD4
Samsung 870 QVO         (5),Samsung,"MZ-77Q8T0B/AM, MZ-77Q8T0BW",8 TB,$0.079,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Kingston KC3000         (36),Kingston,SKC3000D/2048G,2.048 TB,$0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 9100 PRO         (3),Samsung,"MZ-VAP1T0B/AM, MZ-VAP1T0B, MZ-VAP1T0BW",1 TB,$0.170,SSD,1024 MB,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
Crucial T705         (0),Crucial,CT4000T705SSD3,4 TB,$0.097,SSD,,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
TEAMGROUP MP33         (61),TEAMGROUP,TM8FP6001T0C101,1 TB,$0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Samsung 870 Evo         (32),Samsung,"MZ-77E500B/AM, MZ-77E500B/EU, MZ-77E500BW",500 GB,$0.106,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Lexar NM790         (18),Lexar,"LNM790X002T-RNNNG, LNM790X002T-RNNNU",2 TB,$0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
KingSpec XF         (0),KingSpec,"XF-2280-1TB, XF-1TB-2280",1 TB,$0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Acer Predator GM7000         (28),Acer,BL.9BWWR.106,2 TB,$0.063,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Orico Y-20         (0),Orico,Y20-128GB,128 GB,$0.094,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Crucial T500         (16),Crucial,CT2000T500SSD8,2 TB,$0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 970 Evo Plus         (205),Samsung,"MZ-V7S2T0B/AM, MZ-V7S2T0BW",2 TB,$0.094,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Crucial P310         (1),Crucial,CT1000P310SSD8,1 TB,$0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Seagate BarraCuda         (254),Seagate,ST1000DM010,1 TB,$0.060,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Patriot P300         (16),Patriot,P300P256GM28,256 GB,$0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Western Digital Blue         (34),Western Digital,WD20EZBX,2 TB,$0.032,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Kingston A400         (124),Kingston,SA400S37/240G,240 GB,$0.117,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Samsung 980         (95),Samsung,"MZ-V8V1T0B/AM, MZ-V8V1T0BW",1 TB,$0.100,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Crucial BX500         (31),Crucial,CT1000BX500SSD1,1 TB,$0.060,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
TEAMGROUP EX2         (0),TEAMGROUP,T253E2016T0C101,16 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Samsung 990 Pro w/Heatsink         (1),Samsung,MZ-V9P4T0CW,4 TB,$0.077,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
TEAMGROUP T-FORCE G50         (2),TEAMGROUP,TM8FFE001T0C129,1 TB,$0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
TEAMGROUP MP33         (46),TEAMGROUP,TM8FP6512G0C101,512 GB,$0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Silicon Power UD90         (14),Silicon Power,"SP01KGBP44UD9005, SU01KGBP44UD9005SN, SU01KGBP44UD9005BH",1 TB,$0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Corsair MP700 Elite         (1),Corsair,CSSD-F2000GBMP700ENH,2 TB,$0.092,SSD,,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
