name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
Noctua NH-D15         (184),Noctua,,NH-D15,300 - 1500 RPM,19.2 - 24.6 dB,,165 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Thermalright Aqua Elite V3         (11),Thermalright,,"Aqua Elite 240 Black V3, AQUA ELITE 240 V3, AQUA ELITE 240 BLACK ARGB V3",1500 RPM,25.6 dB,Black,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No
ARCTIC Freezer 36         (12),ARCTIC,Freezer 36,ACFRE00123A,200 - 1800 RPM,,Black,159 mm,"AM4, AM5, LGA1700, LGA1851",No,No
Thermalright Frozen Notte ARGB         (21),Thermalright,,"Frozen Notte 360 WHITE ARGB-D1, Frozen Notte 360 WHITE ARGB",2000 RPM,27.7 dB,White,,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
Corsair iCUE H150i ELITE LCD XT         (19),Corsair,iCUE H150i ELITE LCD XT,CW-9060075-WW,550 - 2100 RPM,5 - 34.1 dB,Black,,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
ARCTIC Liquid Freezer III Pro A-RGB 360         (1),ARCTIC,Liquid Freezer III Pro A-RGB 360,ACFRE00184A,600 - 3000 RPM,,Black,68 mm,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
NZXT Kraken 360 RGB         (9),NZXT,Kraken 360 RGB,RL-KR360-W1,500 - 1800 RPM,17.9 - 30.6 dB,White,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
Corsair iCUE H150i ELITE CAPELLIX XT         (19),Corsair,iCUE H150i ELITE CAPELLIX XT,CW-9060070-WW,550 - 2100 RPM,5 - 34.1 dB,Black,,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
Noctua NH-L9x65 chromax.black         (3),Noctua,,"NH-L9x65 chromax.black, NH-L9x65 ch.bk, NH-L9x65chromaxblack, NH-L9X65-CH-BK, NOCTUA NH-L9X65 CHROMAX.BLACK",600 - 2500 RPM,14.8 - 23.6 dB,Black,65 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Thermalright Assassin King SE ARGB         (29),Thermalright,,"AK120 SE WHITE ARGB-D6-2, TL-AK120 SE White, TL-AK120 SE WHITE ARGB",1550 RPM,25.6 dB,White,148 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Corsair NAUTILUS 360 RS ARGB         (3),Corsair,NAUTILUS 360 RS ARGB,CW-9060095-WW,2100 RPM,34 dB,White,,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
Thermalright Peerless Assassin 120 SE WHITE ARGB         (40),Thermalright,Peerless Assassin 120 SE WHITE ARGB,"PA120 SE White ARGB, PA120 SE White ARGB-D3, PA120 SE ARGB White-D1, PA120 SE WHITE ARGB D6-CAD",1550 RPM,25.6 dB,White,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Lian Li Galahad II Trinity SL-INF         (20),Lian Li,,"GA2T36INB, G89.GA2T36INB.00",2100 RPM,29 dB,Black,69 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
Cooler Master MasterLiquid 240L Core ARGB         (7),Cooler Master,MasterLiquid 240L Core ARGB,MLW-D24M-A18PZ-R1,350 - 1750 RPM,27.2 dB,Black,47 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 240 mm,No
Thermalright Frozen Notte ARGB         (20),Thermalright,,"Frozen Notte 360 BLACK ARGB-D1, Frozen Notte 360 BLACK ARGB D6, Frozen Notte 360 BLACK ARGB",2000 RPM,27.7 dB,Black,,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
Corsair iCUE LINK TITAN 360 RX LCD         (7),Corsair,iCUE LINK TITAN 360 RX LCD,CW-9061023-WW,300 - 2100 RPM,10 - 36 dB,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
Asus ROG Ryujin III 360 ARGB Extreme         (0),Asus,ROG Ryujin III 360 ARGB Extreme,"90RC0131-M0EAY0, ROG Ryujin III 360 ARGB Extreme, 90RC0131-M0AAY0",1 - 2800 RPM,36 dB,Black,108 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
Cooler Master Hyper 212 (2023)         (6),Cooler Master,,RR-S4KK-25SN-R1,690 - 2500 RPM,32.8 dB,Black,152 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Corsair iCUE H100i ELITE CAPELLIX XT         (7),Corsair,iCUE H100i ELITE CAPELLIX XT,CW-9060072-WW,550 - 2100 RPM,5 - 34.1 dB,White,,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No
NZXT Kraken 360 RGB         (12),NZXT,Kraken 360 RGB,RL-KR360-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
Corsair NAUTILUS 240 RS ARGB         (2),Corsair,NAUTILUS 240 RS ARGB,CW-9060092-WW,2100 RPM,34 dB,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 240 mm,No
Noctua NH-L9A-AM5 CHROMAX.BLACK         (1),Noctua,,NH-L9A-AM5 CHROMAX.BLACK,600 - 2500 RPM,14.8 - 23.6 dB,Black,37 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+",No,No
ID-COOLING SE-903-XT         (1),ID-COOLING,,SE-903-XT BLACK,500 - 2200 RPM,25.8 dB,Black,123 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
ARCTIC Liquid Freezer III 280         (7),ARCTIC,Liquid Freezer III 280,ACFRE00135A,200 - 1700 RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 280 mm,No
Corsair iCUE LINK TITAN 360 RX RGB         (6),Corsair,iCUE LINK TITAN 360 RX RGB,CW-9061018-WW,300 - 2100 RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
ARCTIC Liquid Freezer III 240 A-RGB         (12),ARCTIC,Liquid Freezer III 240 A-RGB,ACFRE00142A,200 - 2000 RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 240 mm,No
Noctua NH-U12S chromax.black         (126),Noctua,,"NH-U12S chromax.black, NH-U12S CH.BK, NH-U12S-CH-BK",300 - 1500 RPM,18.6 - 22.4 dB,Black,158 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
ARCTIC Liquid Freezer III Pro A-RGB 360         (2),ARCTIC,Liquid Freezer III Pro A-RGB 360,ACFRE00188A,600 - 3000 RPM,,White,68 mm,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
ID-COOLING FROZN A620 PRO SE         (4),ID-COOLING,,FROZN A620 PRO SE,300 - 2000 RPM,27.2 dB,Black,157 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Lian Li Galahad II Trinity SL-INF         (18),Lian Li,,"GA2T36INW, G89.GA2T36INW.00",2100 RPM,29 dB,White,69 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
NZXT Kraken Elite 360 RGB (2024)         (8),NZXT,Kraken Elite 360 RGB (2024),RL-KR36E-W2,500 - 2400 RPM,30 dB,White,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
