name,Manufacturer,Part #,Interface,Features
Edimax EU-4208         (0),Edimax,EU-4208,USB Type-A 2.0,"Operating System: Microsoft Windows XP / 2000 / Vista / 7, Mac OS X 10.x, RAM: Embedded 20KB SRAM for RX and 20KB SRAM for TX packet buffering, No external power adapter required, Low power consumption in idle mode and low traffic conditions., The Edimax EU-4208 USB 2.0 Fast Ethernet Adapter is specifically designed to give Fast Ethernet connectivity to your ultrabook, or any computer without an Ethernet port."
StarTech ST1000SPEX2         (0),StarTech,ST1000SPEX2,PCIe x1,Product Type:Gigabit Ethernet Card
Asus PCE-C2500         (0),Asus,PCE-C2500,PCIe x1,
Intel EXPI9402PTG2P20         (0),Intel,EXPI9402PTG2P20,PCIe x4,
Intel E1G44HT         (0),Intel,E1G44HT,PCIe x4,Processor : Intel 82580
Intel E1G42ET         (0),Intel,E1G42ET,PCIe x4,
QNAP QXG-2G1T-I225         (0),QNAP,QXG-2G1T-I225,PCIe x1,
Intel E10G42BT         (0),Intel,E10G42BT,PCIe x8,"This 10 Gigabit X520-T2 Ethernet Server Adapter showcases Intel's third-generation standards-based 10GBASE-T adapter in a low profile PCI Express form factor., This new dual port adapter provides bandwidth-intensive applications highly affordable 10 Gigabit Ethernet (10GbE) network performance with cost-effective RJ-45 connections for distances up to 100 meters."
Asus ROG AREION         (0),Asus,"AREION 10G, ROG AREION 10G",PCIe x4,
StarTech ST1000SPEX4         (0),StarTech,"ST1000SPEX4, C734A2YG",PCIe x4,"Chipset ID: Realtek - RTL8111C, Buffer Size: 48KB (On Chip), OS Compatibility: Windows 2000/ XP (32/64-bit)/ Vista (32/64-bit)/ Server 2003 (32/64-bit)/ Server 2008 R2/ 7 (32/64-bit)/ 8 (32/64-bit), Win CE 4.2/ 5.0, Mac OS X (Intel based, tested up to 10.8), Unix and Linux, Jumbo Frame support, Support for IEEE 802.1Q VLAN tagging and IEEE 802.1P Layer 2 Priority Encoding, Crossover Detection & Auto-Correction (Auto MDIX), Microsoft NDIS5 Checksum Offload (IP, TCP, UDP) and Large send Offload Support, On-chip 48KB Transmit/Receive Buffer, Wake-on-LAN and Remote Wake-up Support, Supports Full Duplex Flow Control (IEEE 802.3x), Supports Pair Swap/Polarity/Skew Correction, PCI Express base specification 1.1 compliant, Supports PCI Message Signaled Interrupt (MSI)."
SIIG LB-GE0211-S1         (0),SIIG,LB-GE0211-S1,PCIe x4,
StarTech ST2000PEXPSE         (0),StarTech,ST2000PEXPSE,PCIe x1,Product Type:Gigabit Ethernet Card
StarTech ST3300U3S         (0),StarTech,ST3300U3S,USB Type-A 3.2 Gen 1,"Connector Type(s): 1 - RJ-45 Female, 1 - USB 3.0 Micro-B (10 pin; SuperSpeed) Female, 3 - USB 3.0 A (9 pin; SuperSpeed) Female, OS Compatibility: Windows XP(32/64-bit)/ Server 2003(32/64-bit)/ Server 2008 R2/ Vista(32/64-bit)/ 7(32/64-bit)/ 8 (32/64-bit), Mac OS 10.x, Linux, Power: Center Tip Polarity: Positive, Input Voltage: Universal 115 ~ 230 AC, Output Current: 2, Output Voltage: 5 DC, Plug Type: M, Power Adapter Included: Yes, 10/100/1000 Mbps RJ45 Ethernet port, Fully compliant with IEEE 802.3, IEEE 802.3u, IEEE 802.3ab and IEEE 802.3az specifications, Supports Auto-MDIX, Wake-on-LAN and Jumbo Frames, Crossover Detection & Auto-Correction (Auto MDIX), 3 SuperSpeed USB 3.0 ports with up to 5Gbps of bandwidth, Backward compatible with USB 2.0 and USB 1.0/1.1 devices, Supports USB 3.0/2.0/1.x devices simultaneously, Fully compliant with USB 3.0 rev 1.0 specifications, Plug-and-Play and hot-swap compatible."
TRENDnet TUC-ET2G         (0),TRENDnet,TUC-ET2G,USB Type-C 3.2 Gen 1,
Syba SY-ADA24029         (0),Syba,SY-ADA24029,USB Type-A 2.0,"Compliant with Universal Serial Bus 3.0 Specification, Revision 1.0, Compatible with USB Specification, Revision 2.0, Supports Full Duplex Operation with IEEE 802.3x Flow Control and Half Duplex Operation with Back-pressure Flow Control, Supports IEEE 802.3az (Energy Efficient Ethernet), Supports Crossover Detection and Auto-correction, Supports Advanced Link Down Power Saving When Ethernet Cable is Unplugged, Supports Wake-on-LAN, Adapter Cable Length: 19"""
Syba SY-PEX24045         (0),Syba,SY-PEX24045,PCIe x4,
D-Link DXE-820T         (0),D-Link,DXE-820T,PCIe x8,Product Type:10Gigabit Ethernet Card
Intel EXPI9404PTL         (0),Intel,EXPI9404PTL,PCIe x4,"Two Intel 82571GB Gigabit Controllers, Low-profile, Load balancing on multiple CPUs, Intel I/OAT, Virtualization, Interrupt moderation, Compatible with x4, x8, and x16 standard and low-profile PCI Express slots, Support for most network operating systems (NOS), Remote management support, Category-5 unshielded twisted pair (UTP), 4-pair cabling, RoHS compliant, lead-free technology, Intel PROSet Utility for Windows, Advanced cable diagnostics, Intel backing"
TRENDnet TEG-PCITXR         (0),TRENDnet,TEG-PCITXR,PCI,"Protocol: CSMA/CD, Power Consumption: 3.7watts, Certification: CE, FCC, Built-in FIFO (8K/64K) buffers reduce overhead of memory transfers., Plug and Play"
Edimax EN-9130TXL         (0),Edimax,EN-9130TXL,PCI,"10/100Mbps Auto-Negotiation - Support Nway Auto-Negotiation technology and makes it simple and cost effective to install and upgrade your network in the future.  Support Full-Duplex mode for maximum bandwidth up to 200Mbps in a switched network., Web-Based Management - Turn your PC into a remotely and locally manageable PC with Edimax WedDESK Manager. Collect all the PCs' critical information and even take a snapshot of the Client PC's screen through the Internet browser.   Managing network has never been easier., ACPI / Wake On LAN - When the adapter receives a wake-up frame or magic packet from the network management station, it will work with the system's ACPI interface to power up the PC and enable the PC to be remotely managed by the administrator"
Rosewill RC-NIC416Dual         (0),Rosewill,RC-NIC416Dual,PCIe x4,
StarTech PEX100S         (0),StarTech,PEX100S,PCIe x1,"Chipset ID: Realtek RTL8101E, OS Compatibility: Windows 98SE/ ME/ 2000/ XP(32/64bit)/ Vista(32/64bit)/ 7(32/64bit), and Linux, Card Type: Low / Standard Profile, Compliant with IEEE802.3 CSMA/CD, 802.3 10Base-T and 100Base-TX standards, Crossover Detection & Auto-Correction (Auto-MDIX), Link speed and duplex mode auto-negotiation, Full/Low Profile installation brackets included"
StarTech US2GC30         (0),StarTech,US2GC30,USB Type-C 3.2 Gen 1,
D-Link DUB-E100         (0),D-Link,DUB-E100,USB Type-A 2.0,"True 10/100Mbps Network Connectivity, Auto 10/100Mbps Speed Detection, Backwards Compatible with USB 1.1"
TP-Link TF-3239DL         (1),TP-Link,TF-3239DL,PCI,"Provides 32-bit PCI interface, PCI2.1, PCI2.2, Supports Full Duplex and Half Duplex transfer modes, Supports IEEE 802.3x flow control for Full Duplex mode, Provides diagnostic software, Supports drivers for NetWare 3.x, 4.x, Windows 98, Windows Me, Windows NT4.0, Windows 2000, Windows XP, Windows Vista, Linux 2.4.x"
D-Link DUB-1312         (0),D-Link,DUB-1312,USB Type-A 3.2 Gen 1,
Syba SY-HUB24047         (0),Syba,SY-HUB24047,USB Type-A 3.2 Gen 1,
EDUP EP-9602GS         (0),EDUP,EP-9602GS,PCIe x1,
Lenovo 7ZT7A00482         (0),Lenovo,7ZT7A00482,PCIe x1,
Intel PWLA8391GTBLK         (0),Intel,PWLA8391GTBLK,PCI,"Processor:Intel 82541PI, ACPI support, Auto-negotiation, Flow control, Full duplex capability, Manageable, VLAN support, Wake on LAN (WOL), Remote management support DMI 2.0, SNMP, Compliant with BSMI CNS 13438 Class B, CE, FCC Class B certified, Plug and Play, VCCI Class B ITE"
SIIG CN-GP1021-S3         (0),SIIG,CN-GP1021-S3,PCIe x1,Product Type:Gigabit Ethernet Card
Intel EXPI9402PT         (0),Intel,"EXPI9402PT, EXPI9402PTBLK",PCIe x4,"Intel 82571GB Gigabit Controller, Load balancing on multiple CPUs, Interrupt moderation, Compatible with x4, x8, and x16 full-height PCI Express slots, Support for most network operating systems (NOS), Remote management support, Category-5 unshielded twisted pair (UTP), 4-pair cabling, RoHS compliant, lead-free technology, Intel PROSet Utility for Microsoft Device Manager, Advanced cable diagnostics, Intel backing"
Intel PWLA8391GTBLK-1PK         (0),Intel,PWLA8391GTBLK-1PK,PCI,"PRO/1000 GT Desktop Adapter provide a maximize system performance and increase end-user productivity for mainstream PCs., This adapter bandwidth makes quick work of these network applications with power to spare."
VisionTek Bigfoot Killer 2100         (1),VisionTek,900317,PCIe x1,"Processor: 400 MHz Bigfoot Networks Processor, Memory: 128MB DDR2 266MHz, Maximum networking performance for online games, Control Panel Application & Tray Indicator, Advanced Game Detect (traffic classification), Visual Bandwidth Control, Application Blocker, Online Gaming PC Monitor, UDP traffic offload & acceleration, Windows Network Stack bypass"
StarTech USB31000NDS         (0),StarTech,USB31000NDS,USB Type-A 3.2 Gen 1,Product Type:Gigabit Ethernet Card
Plugable USBC-E1000         (0),Plugable,USBC-E1000,USB Type-C 3.2 Gen 1,
Supermicro AOC-STG-i2T         (0),Supermicro,AOC-STG-i2T,PCIe x8,
Tripp Lite U436-06N-2P5         (0),Tripp Lite,U436-06N-2P5,USB Type-C 3.2 Gen 1,
StarTech USB31000S2         (0),StarTech,USB31000S2,USB Type-A 3.2 Gen 1,
StarTech ST10GSPEXNDP         (0),StarTech,ST10GSPEXNDP,PCIe x8,
Supermicro AOC-SG-i2         (0),Supermicro,AOC-SG-i2,PCIe x4,"Low-profile standard form factor, Intel I/O AT to improve CPU utilization, MSI-X support to minimize the overhead of interrupts and allow load balancing of interrupt handling between different CPUs/cores, Low-latency interrups, Support caches up to 64 packets descriptors per queue, Support for transmission and reception of packets up to 9.5KBs (Jumbo Frames), IEEE 802.3 auto-negotiation, IEEE 802.3 compliant flow-control support, VMDq for virtualized environments, Direct Cache Access (DCA), Tx/Rx IP, TCP, and UDP checksum offloading (IPv4, IPV6) capabilities, Tx TCP segmentation offloading (IPv4, IPv6), iSCSI boot, Supported cable length is more than 100 meters, Supported OS: Windows, Linux, VMWare, FreeBSD, Netware"
SIIG LB-GE0611-S1         (0),SIIG,LB-GE0611-S1,PCIe x1,
Syba SD-PEX24009         (0),Syba,SD-PEX24009,PCIe x1,"PCI-Express 1-Lane (x1) Interface, Supports Full Duplex Flow Control (IEEE 802.3x), Supports IEEE 802.1P Layer 2 Priority Encoding, Supports IEEE 802.1Q VLAN Tagging, Crossover Detection and Auto Correction Operation"
D-Link DGE-530T         (0),D-Link,DGE-530T,PCI,"Protocol: CSMA/CD, Network Management: SNMPv1, Windows Automatically Detects the Adapter for Easy Installation., Designed for VoIP, Extreme Gaming, Transferring Music, Video, and Large Files."
