name,Manufacturer,Part #,Style,Mechanical,Layout,Backlit,Tenkeyless,Connection Type,Color,Mouse Included
Corsair K70 PRO MINI         (3),Corsair,"CH-9189014-NA, CH-9189014-EU, CH-9189014-UK, CH-9189014-DE, CH-9189014-AU",Mini,Yes,English (US),RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,No
Logitech Wireless All-in-One Keyboard TK820         (3),Logitech,920-005108,Slim,No,,None,Yes,Wireless,Black,Touchpad
MSI Vigor GK30         (5),MSI,Vigor GK30,Gaming,No,English (US),RGB,No,Wired,Black,No
E-element Z88RGB81WRZ         (3),E-element,Z88RGB81WRZ,Mini,Yes,English (US),Multicolor,Yes,Wired,White,No
Logitech MK200         (1),Logitech,920-002714,Slim,No,,None,No,Wired,Black,Optical
Asus ROG Azoth         (4),Asus,"90MP0316-BKAA01, ROG-AZOTH-NXRD, 90MP0316-BKEA01",Mini,Yes,English (US),RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,No
Corsair K55 CORE RGB         (1),Corsair,CH-9226C65-UK,Gaming,No,English (UK),RGB,No,Wired,Black,No
Logitech G810 Orion Spectrum RGB         (48),Logitech,"G810, 920-007739",Gaming,Yes,English (US),RGB,No,Wired,Black,No
Razer BlackWidow V3         (3),Razer,RZ03-03491800-R3M1,Gaming,Yes,English (US),RGB,Yes,Wired,Black,No
Logitech PRO X RAPID         (0),Logitech,"920-013131, 920-013234",Gaming,Yes,English (US),RGB,Yes,Wired,Black,No
SteelSeries Apex Pro TKL (2023)         (0),SteelSeries,"64868, ss-64868",Gaming,Yes,German,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,No
Verbatim 99201         (1),Verbatim,99201,Standard,No,English (UK),None,No,Wired,Black,No
Keychron V1 Max         (0),Keychron,"V1M-D3, KBKCV1MD3",Mini,Yes,English (US),None,Yes,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue,No
Cooler Master SK620         (0),Cooler Master,"SK-620-SKTR1-US, SK-620-SKTR1-DE, SK-620-SKTR1-FR, SK-620-SKTR1-IT, SK-620-SKTR1-ND, SK-620-SKTR1-PT, SK-620-SKTR1-SP, SK-620-SKTR1-SW, SK-620-SKTR1-HE, SK-620-SKTR1-UK, SK-620-SKTR1-RU",Gaming,Yes,English (US),RGB,Yes,Wired,Silver / White,No
Logitech MK120         (39),Logitech,920-002565,Slim,No,,None,No,Wired,Black,Optical
Corsair K70 CORE TKL         (0),Corsair,CH-911911E-NA,Gaming,Yes,English (US),RGB,Yes,Wired,Black,No
Whirlwind FX Element V2         (1),Whirlwind FX,FX243138,Gaming,Yes,English (US),RGB,No,Wired,Black,No
SteelSeries Apex Pro Gen 3         (0),SteelSeries,64740,Gaming,Yes,English (US),RGB,Yes,Wired,Black,No
MSI Vigor GK30         (0),MSI,S11-04US319-CLA,Gaming,No,English (US),RGB,No,Wired,White,Optical
Keychron Q6 HE QMK         (0),Keychron,Q6H-M1,Standard,Yes,English (US),RGB,No,"Wired, Wireless, Bluetooth Wireless",Black / White,No
SteelSeries Apex Pro TKL (2023)         (1),SteelSeries,"64856, ss-64856",Gaming,Yes,English (US),RGB,Yes,Wired,Black,No
matias Mini Quiet Pro for PC         (0),matias,FK303QPC,Mini,Yes,,None,Yes,Wired,Black,No
AmazonBasics KU-0833 +MSU0939         (7),AmazonBasics,KU-0833 +MSU0939,Standard,No,,None,No,Wired,Black,Optical
Razer BlackWidow V4 75%         (1),Razer,RZ03-05001700-R3M1,Mini,No,English (US),RGB,Yes,Wired,White,No
Asus ROG Falchion RX         (0),Asus,"M603 FALCHION RX LP/RLRD, 90MP03EC-BKAA10, 90mp03ec-bkea10, 90MP03EC-BKFA10",Slim,Yes,English (US),RGB,Yes,"Wired, Wireless, Bluetooth Wireless",White,No
Corsair K65 60%         (14),Corsair,CH-9194014-NA,Mini,Yes,English (US),RGB,Yes,Wired,Black,No
Keychron V1 Max         (0),Keychron,"V1M-D1, KBKCV1MD1",Mini,Yes,English (US),None,Yes,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue,No
Corsair K100 RGB         (2),Corsair,"CH-912A014-NA, CH-912A014-UK, CH-912A014-EU, CH-912A014-DE, CH-912A014-FR",Gaming,Yes,English (US),RGB,No,Wired,Black,No
Logitech G915 Lightspeed         (19),Logitech,"920-008902, 920-008910",Gaming,Yes,English (US),RGB,No,Wireless,Black,No
be quiet! Dark Mount         (0),be quiet!,BT001US,Gaming,Yes,English (US),RGB,No,Wired,Black,No
Corsair K70 RGB PRO         (3),Corsair,CH-9109414-NA,Gaming,Yes,English (US),RGB,No,Wired,Black,No
Logitech G213         (2),Logitech,920-009284,Gaming,No,English (US),RGB,No,Wired,Black,No
Corsair K70 RGB MK.2         (9),Corsair,"CH-9109012-NA, CH-9109012-UK",Gaming,Yes,English (US),RGB,No,Wired,Black,No
Razer Huntsman V3 Pro         (0),Razer,"RZ03-04970100-R3U1, RZ03-04970100-R3M1",Gaming,Yes,English (US),RGB,No,Wired,Black,No
Logitech MX Mechanical         (1),Logitech,"920-010547, 920-010757",Slim,Yes,English (US),White,No,Wireless,Gray / Black,No
Logitech G515 LIGHTSPEED         (1),Logitech,"920-012423, 920-012580, 920-012538",Gaming,Yes,English (US),RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,No
Wooting One         (1),Wooting,BA1-US2-RD-001,Gaming,Yes,English (US),RGB,Yes,Wired,Black,No
SteelSeries Apex 100         (3),SteelSeries,64435,Gaming,No,English (US),Blue,No,Wired,Black,No
Logitech PRO X         (0),Logitech,920-012118,Gaming,Yes,English (US),RGB,Yes,"Wired, Wired, Wireless, Bluetooth Wireless",Black,No
Keychron K10 Pro QMK/VIA         (1),Keychron,HS-K10P-H3,Standard,Yes,English (US),RGB,No,"Wired, Bluetooth Wireless",Black / Gray,No
Logitech K120 - UK Layout         (11),Logitech,920-002501,Standard,No,,None,No,Wired,Black,No
