name,Manufacturer,Part #,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Color,Brightness,Pixel Pitch,Widescreen,Curved Screen,Frame Sync,Built-in Speakers,Viewing Angle,Inputs
Cooler Master Tempest GZ2711         (0),Cooler Master,"CMI-GZ2711-US, CMI-GZ2711-UK, CMI-GZ2711-AU, CMI-GZ2711-EU, CMI-GZ2711-AP","27""",2560 x 1440,240 Hz,0.03 ms,OLED,16:9,Black,450 cd/m²,0.233 mm,Yes,No,FreeSync Premium,Yes,178° H x 178° V,"2 x HDMI 2.1, 2 x DisplayPort 1.4, 1 x USB Type-C"
Samsung Odyssey G4         (4),Samsung,LS27BG402ENXGO,"27""",1920 x 1080,240 Hz,1 ms,IPS,16:9,Black,400 cd/m²,0.311 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"1 x DisplayPort 1.2, 2 x HDMI 2.0"
MSI PRO MP245V         (0),MSI,PRO MP245V,"23.8""",1920 x 1080,100 Hz,4 ms,VA,16:9,Black,300 cd/m²,0.274 mm,Yes,No,FreeSync,No,178° H x 178° V,"1 x HDMI 1.4, 1 x VGA"
Acer VG271U M3bmiipx         (10),Acer,"VG271U M3, VG271U M3bmiipx, UM.HV1AA.301, UM.HV1EE.304","27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,Blue / Black,250 cd/m²,0.233 mm,Yes,No,FreeSync Premium,Yes,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.2"
Dell G2524H         (1),Dell,"G2524H, 210-BHYC, G2524hsap, 29J9X","24.5""",1920 x 1080,280 Hz,0.5 ms,IPS,16:9,Black,400 cd/m²,0.282 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"1 x HDMI 1.4, 2 x DisplayPort 1.4"
LG 27GN800-B         (16),LG,"27GN800-B, 27GN800-B.AEU","27""",2560 x 1440,144 Hz,1 ms,IPS,16:9,Black / Red,350 cd/m²,0.233 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
Sony INZONE M10S         (0),Sony,"SDM27Q10S, INZONE M10S","27""",2560 x 1440,480 Hz,0.03 ms,OLED,16:9,Black,1300 cd/m²,0.233 mm,Yes,No,"FreeSync, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 2.1"
AOC 24G4XE         (0),AOC,24G4XE,"24""",1920 x 1080,180 Hz,,IPS,16:9,Black,300 cd/m²,0.277 mm,Yes,No,"FreeSync, G-Sync Compatible",Yes,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.4"
KOORUI 27E1QA         (4),KOORUI,27E1QA,"27""",2560 x 1440,144 Hz,,VA,16:9,Black,300 cd/m²,0.233 mm,Yes,No,FreeSync,No,178° H x 178° V,"1 x HDMI 2.0, 1 x HDMI 1.4, 1 x DisplayPort 1.2"
LG 24GN650-B         (7),LG,"24GN650-B, 24GN650-B.AEU","24""",1920 x 1080,144 Hz,1 ms,IPS,16:9,Black / Red,300 cd/m²,0.277 mm,Yes,No,FreeSync Premium,No,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
Asus VG248QG         (20),Asus,"VG248QG, 90LMGG901Q022E1C-","24""",1920 x 1080,165 Hz,0.5 ms,TN,16:9,Black,350 cd/m²,0.277 mm,Yes,No,"FreeSync, G-Sync Compatible",Yes,170° H x 160° V,"1 x HDMI, 1 x DVI-D Dual Link, 1 x DisplayPort"
MSI MPG 491CQPX QD-OLED         (2),MSI,"MPG 491CQPX QD-OLED, 9S6-3FA84T-017","49""",5120 x 1440,240 Hz,0.03 ms,QD-OLED,32:9,Black,1000 cd/m²,0.234 mm,Yes,Yes,FreeSync,No,178° H x 178° V,"1 x HDMI 2.1, 1 x DisplayPort 1.4a, 1 x USB Type-C"
Samsung Odyssey G40B         (3),Samsung,LS25BG402ENXGO,"25""",1920 x 1080,240 Hz,1 ms,IPS,16:9,Black,400 cd/m²,0.288 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.2"
Lenovo Legion R27qe         (1),Lenovo,"67c5gac1us, 67c5gac1uk, 67c5gac1eu, 67c5gac1au","27""",2560 x 1440,180 Hz,,IPS,16:9,Black,450 cd/m²,0.233 mm,Yes,No,FreeSync,No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
Gigabyte M27Q-X         (7),Gigabyte,"M27Q-X, M27Q X-SA, 9DM27QX-00-1ABEK, M27Q X-EU","27""",2560 x 1440,240 Hz,1 ms,IPS,16:9,Black,350 cd/m²,0.233 mm,Yes,No,FreeSync Premium,Yes,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.4"
Pixio PX246 Wave         (0),Pixio,810166730556,"24""",1920 x 1080,120 Hz,4 ms,IPS,16:9,Black,300 cd/m²,0.277 mm,Yes,No,FreeSync,Yes,178° H x 178° V,"1 x HDMI 2.0, 1 x VGA"
Samsung Odyssey Neo G8         (8),Samsung,"LS32BG852NNXGO, LS32BG850NUXXU","32""",3840 x 2160,240 Hz,1 ms,VA,16:9,Black / Silver,1000 cd/m²,0.184 mm,Yes,Yes,"FreeSync Premium Pro, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
MSI MPG 272URX QD-OLED         (1),MSI,MPG 272URX QD-OLED,"27""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,Black,1000 cd/m²,0.156 mm,Yes,No,FreeSync,No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 2.1, 1 x USB Type-C"
MSI MAG 321UPX QD-OLED         (1),MSI,"MAG 321UPX QD-OLED, 9S6-3DD39T-001, 9S6-3DD39T-002, 9S6-3DD39T-006","31.5""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,,1000 cd/m²,0.182 mm,Yes,No,FreeSync,No,178° H x 178° V,"1 x DisplayPort 1.4a, 2 x HDMI, 1 x USB Type-C"
