name,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Thread Count,Performance Core Clock,Performance Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD Ryzen 9 5900XT         (1),AMD,100-100001581WOF,AMD Ryzen 9,Zen 3,Vermeer,AM4,16,32,3.3 GHz,4.8 GHz,8 MB,64 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
AMD Ryzen 9 7900X3D         (23),AMD,100-100000909WOF,AMD Ryzen 9,Zen 4,Raphael,AM5,12,24,4.4 GHz,5.6 GHz,12 MB,128 MB,120 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
Intel Core Ultra 5 245K         (0),Intel,BX80768245K,Intel Core Ultra 5,Arrow Lake,Arrow Lake,LGA1851,14,14,4.2 GHz,5.2 GHz,26 MB,24 MB,125 W,Intel Xe,256 GB,Yes,No,Boxed,3 nm,No,No
Intel Core i7-13700KF         (25),Intel,"BX8071513700KF, i7-13700KF",Intel Core i7,Raptor Lake,Raptor Lake,LGA1700,16,24,3.4 GHz,5.4 GHz,24 MB,30 MB,125 W,None,192 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i5-14400         (1),Intel,BX8071514400,Intel Core i5,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,10,16,2.5 GHz,4.7 GHz,9.5 MB,20 MB,65 W,Intel UHD Graphics 730,192 GB,Yes,Yes,Boxed,7 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 5 5600XT         (0),AMD,100-100001585BOX,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,12,3.7 GHz,4.7 GHz,3 MB,32 MB,65 W,None,128 GB,Yes,Yes,Boxed,7 nm,Yes,Yes
Intel Core i7-6700K         (509),Intel,BX80662I76700K,Intel Core i7,Skylake,Skylake-S,LGA1151,4,8,4 GHz,4.2 GHz,1 MB,8 MB,91 W,Intel HD Graphics 530,64 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 3800X         (135),AMD,"Ryzen 7 3800X, 100-100000025BOX",AMD Ryzen 7,Zen 2,Matisse,AM4,8,16,3.9 GHz,4.5 GHz,4 MB,32 MB,105 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
Intel Core i9-13900KF         (16),Intel,"BX8071513900KF, i7-13900KF",Intel Core i9,Raptor Lake,Raptor Lake,LGA1700,24,32,3 GHz,5.8 GHz,32 MB,36 MB,125 W,None,192 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i5-9400F         (47),Intel,BX80684I59400F,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,6,2.9 GHz,4.1 GHz,1.5 MB,9 MB,65 W,None,128 GB,No,Yes,Boxed,14 nm,Yes,No
Intel Core i3-13100F         (5),Intel,BX8071513100F,Intel Core i3,Raptor Lake,Raptor Lake,LGA1700,4,8,3.4 GHz,4.5 GHz,5 MB,12 MB,58 W,None,192 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
AMD Threadripper 3970X         (8),AMD,100-100000011WOF,AMD Threadripper,Zen 2,Castle Peak,sTRX4,32,64,3.7 GHz,4.5 GHz,16 MB,128 MB,280 W,None,512 GB,Yes,No,Boxed,7 nm,No,Yes
Intel Core i3-12100         (15),Intel,BX8071512100,Intel Core i3,Alder Lake,Alder Lake,LGA1700,4,8,3.3 GHz,4.3 GHz,5 MB,12 MB,60 W,Intel UHD Graphics 730,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i5-9600K         (147),Intel,BX80684I59600K,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,6,3.7 GHz,4.6 GHz,1.5 MB,9 MB,95 W,Intel UHD Graphics 630,128 GB,No,No,Boxed,14 nm,No,No
Intel Core i7-11700K         (41),Intel,BX8070811700K,Intel Core i7,Rocket Lake,Rocket Lake-S,LGA1200,8,16,3.6 GHz,5 GHz,4 MB,16 MB,125 W,Intel UHD Graphics 750,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i5-11400F         (25),Intel,BX8070811400F,Intel Core i5,Rocket Lake,Rocket Lake-S,LGA1200,6,12,2.6 GHz,4.4 GHz,3 MB,12 MB,65 W,None,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 5 2600X         (231),AMD,YD260XBCAFBOX,AMD Ryzen 5,Zen+,Pinnacle Ridge,AM4,6,12,3.6 GHz,4.2 GHz,3 MB,15.99 MB,95 W,None,64 GB,No,Yes,Boxed,12 nm,Yes,Yes
