name,Manufacturer,Part #,Type,Interface,Capacity,Price / GB,Color,Cache,RPM,User Rating,Price
Seagate One Touch,Seagate,STLC10000400,Desktop,USB Type-A 3.2 Gen 1,10000 GB,$0.024,Black,,,,$237.12
Western Digital easystore,Western Digital,WDBAMA0180HBK-NESN,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",18000 GB,$0.017,Black,,5400 RPM,,$309.99
Apricorn Aegis Fortress L3,Apricorn,AFL3-S16TB,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000 GB,$0.312,Black,8 MB,SSD,,$4999.00
Western Digital My Book,Western Digital,WDBBGB0120HBK-NESN,Desktop,USB Type-A 3.2 Gen 2,12000 GB,$0.020,Black,,,,$234.99+
Samsung T9 Portable,Samsung,"MU-PG2T0B/AM, MU-PG2T0B",Portable,USB Type-C 3.2 Gen 2x2,2000 GB,$0.099,Black,,SSD,,$197.42
Corsair EX100U,Corsair,CSSD-EX100U4TB,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.074,Black,,SSD,,$296.99
Apricorn Aegis Fortress L3,Apricorn,AFL3-S8TB,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",8000 GB,$0.300,Black,8 MB,SSD,,$2399.00
Western Digital ELEMENTS,Western Digital,WDBU6Y0020BBK-NESN,Portable,USB Type-A 3.2 Gen 1,2000 GB,,,,,"(1 Rating, 3.0 Average)",
Samsung T5 EVO Portable,Samsung,"MU-PH4T0S/AM, MU-PH4T0S, MU-PH4T0S/EU",Portable,USB Type-C 3.2 Gen 1,4000 GB,$0.057,Black,,SSD,,$229.99
Crucial X6,Crucial,CT1000X6SSD9,Portable,USB Type-C 3.2 Gen 2,1000 GB,$0.075,Black,,SSD,"(1 Rating, 4.0 Average)",$74.98+
Seagate Portable Drive,Seagate,STGX1000400,Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.060,Black,128 MB,5400 RPM,,$59.98
Seagate One Touch,Seagate,STLC6000400,Desktop,USB Type-A 3.2 Gen 1,6000 GB,$0.028,Black,,,,$165.59
Corsair EX100U,Corsair,CSSD-EX100U1TB,Portable,USB Type-C 3.2 Gen 2x2,1000 GB,$0.095,Black,,SSD,"(1 Rating, 4.0 Average)",$94.99
Western Digital ELEMENTS,Western Digital,WDBWLG0120HBK-NESN,Desktop,USB Type-A 3.2 Gen 1,12000 GB,$0.018,,,,,$219.99
Seagate One Touch,Seagate,STKC4000400,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.031,Black,,5400 RPM,,$125.98
Apricorn Aegis Fortress L3,Apricorn,AFL3- 4TB,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000 GB,$0.098,Black,8 MB,5400 RPM,,$392.44
LaCie Rugged Mini,LaCie,"301558, LAC301558",Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.080,,,5400 RPM,,$79.99
SanDisk Professional PRO-Blade Transport,SanDisk,SDPM2NB-004T-GBAND,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.085,Black,,SSD,,$339.99+
TEAMGROUP PD20 Eco Mini,TEAMGROUP,TPSEG4004T0C102,Portable,USB Type-C,4000 GB,$0.059,White / Green,,SSD,,$234.99
Corsair EX400U,Corsair,CSSD-EX400U1TB,Portable,USB Type-C 4.0 Gen 3x2,1000 GB,$0.110,Black,,SSD,,$109.99
