name,Manufacturer,Part #,Size,Color,Quantity,Flow Direction,Airflow,Noise Level,PWM,LED,Connector,Controller,Static Pressure
Noctua A12x15 PWM chromax.black.swap         (74),Noctua,"NF-A12X15 PWM CHROMAX.BLACK.SWAP, NF-A12x15 PWM CH.BK.S, NF-A12x15-PWM-CH-BK-S",120 mm,Black / Multicolor,Single,Standard,55.44 CFM,23.9 dB,Yes,None,4-pin PWM,None,1.53 mmH₂O
Noctua A12x15 PWM         (70),Noctua,NF-A12x15 PWM,120 mm,Brown,Single,Standard,41.67 - 55.44 CFM,16.8 - 23.9 dB,Yes,None,4-pin PWM,None,1.53 mmH₂O
Thermalright TL-C12W-S V3 X3 3-Pack         (6),Thermalright,TL-C12W-S V3 X3,120 mm,White,3-Pack,Standard,66.17 CFM,25.6 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.53 mmH₂O
Phanteks PH-F120T30         (25),Phanteks,PH-F120T30_BG,120 mm,Black / Gray,Single,Standard,0 - 101 CFM,0 - 39.7 dB,Yes,None,4-pin PWM,None,7.11 mmH₂O
Phanteks M25G2-120 D-RGB 3-Pack         (2),Phanteks,PH-F120M25_G2_DBK01 _3P,120 mm,Black,3-Pack,Standard,72.72 CFM,35.13 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,2.51 mmH₂O
ARCTIC P14 Max 5-Pack         (4),ARCTIC,ACFAN00290A,140 mm,Black,5-Pack,Standard,95 CFM,,Yes,None,4-pin PWM,None,4.18 mmH₂O
Montech AX120         (7),Montech,"AX120 PWM Black, AX120-PWM-B, AX120 PWM BK",120 mm,Black,Single,Standard,59 CFM,27 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.8 mmH₂O
ARCTIC P12 Max 5-Pack         (7),ARCTIC,ACFAN00289A,120 mm,Black,5-Pack,Standard,81.04 CFM,,Yes,None,4-pin PWM,None,4.35 mmH₂O
Corsair HD120 3-Pack         (51),Corsair,CO-9050067-WW,120 mm,Black / White,3-Pack,Standard,54.4 CFM,18 - 30 dB,Yes,RGB,4-pin PWM + Proprietary RGB,Manual,2.25 mmH₂O
Lian Li UNI FAN SL Wireless LCD 3-Pack         (0),Lian Li,"12SLLCD1W3B, G99.12SLLCD1W3B.00",120 mm,Black,3-Pack,Standard,50.08 CFM,29.5 dB,Yes,Addressable RGB,4-pin PWM,USB,2.4 mmH₂O
Lian Li UNI FAN TL Wireless 3-Pack         (1),Lian Li,"12RTL1W3B, G99.12RTL1W3B.00",120 mm,Black,3-Pack,Reverse,83.4 CFM,34 dB,Yes,Addressable RGB,4-pin PWM,USB,2.66 mmH₂O
Thermalright TL-C12CW-S         (0),Thermalright,TL-C12CW-S,120 mm,White,Single,Standard,66.17 CFM,25.6 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.53 mmH₂O
Corsair iCUE LINK LX120-R RGB 3-Pack         (1),Corsair,CO-9051054-WW,120 mm,White,3-Pack,Reverse,70 CFM,35.1 dB,Yes,Addressable RGB,Proprietary PWM,USB,3.8 mmH₂O
be quiet! Pure Wings 3         (2),be quiet!,BL108,140 mm,Black,Single,Standard,57.4 CFM,21.9 dB,Yes,None,4-pin PWM,None,0.96 mmH₂O
Thermalright TL-C12C         (2),Thermalright,"TL-C12C D6, TL-C12C",120 mm,Black,Single,Standard,66.17 CFM,25.6 dB,Yes,None,4-pin PWM,None,1.53 mmH₂O
Lian Li UNI FAN SL V2 120 Reverse         (2),Lian Li,"RSL120V2-1B, UF-RSL120V2-1B, G99.12RSLV21B.00, 12RSLV2-1B",120 mm,Black,Single,Reverse,65.4 CFM,32 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,2.19 mmH₂O
Thermalright TL-C12CW-S X5 5-Pack         (1),Thermalright,TL-C12CW-S X5,120 mm,White,5-Pack,Standard,66.17 CFM,25.6 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.53 mmH₂O
Lian Li UNI FAN SL Wireless LCD 3-Pack         (1),Lian Li,"12RSLLCD1W3W, G99.12RSLLCD1W3W.00",120 mm,White,3-Pack,Reverse,51.45 CFM,31 dB,Yes,Addressable RGB,4-pin PWM,USB,2.1 mmH₂O
ARCTIC P12 PST A-RGB 0dB         (21),ARCTIC,ACFAN00231A,120 mm,Black,Single,Standard,48.8 CFM,,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.85 mmH₂O
ARCTIC P14 PST 5-Pack         (30),ARCTIC,ACFAN00138A,140 mm,Black,5-Pack,Standard,72.8 CFM,22.5 dB,Yes,None,4-pin PWM,None,2.4 mmH₂O
Thermalright TL-C14C         (1),Thermalright,TL-C14C,140 mm,Black,Single,Standard,75.8 CFM,26.4 dB,Yes,None,4-pin PWM,None,1.93 mmH₂O
NZXT F120 RGB DUO 3-Pack         (5),NZXT,RF-D12TF-B1,120 mm,Black,3-Pack,Standard,48.58 CFM,29 dB,Yes,Addressable RGB,4-pin PWM + Proprietary RGB,USB,2.42 mmH₂O
Thermalright TL-M12         (2),Thermalright,TL-M12,120 mm,Black,Single,Standard,47.6 CFM,23.2 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.31 mmH₂O
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack         (2),Corsair,CO-9051004-WW,140 mm,Black,2-Pack,Standard,12.1 - 82.5 CFM,,Yes,Addressable RGB,Proprietary PWM,USB,3.5 mmH₂O
be quiet! Light Wings PWM high-speed 3-Pack         (14),be quiet!,BL077,120 mm,Black,3-Pack,Standard,52.3 CFM,31 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,5V Addressable RGB,2.6 mmH₂O
Phanteks M25G2-120 D-RGB Reverse 3-Pack         (0),Phanteks,PH-F120M25R_G2_DBK01_3P,120 mm,Black,3-Pack,Reverse,73.69 CFM,39.28 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.99 mmH₂O
ARCTIC P14 PWM PST A-RGB         (13),ARCTIC,ACFAN00239A,140 mm,Black,Single,Standard,0 - 68 CFM,,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,
ARCTIC P12 Slim PWM PST         (40),ARCTIC,ACFAN00187A,120 mm,Black,Single,Standard,41.1 CFM,22.5 dB,Yes,None,4-pin PWM,None,1.45 mmH₂O
Thermalright TL-M12W-S         (2),Thermalright,TL-M12W-S,120 mm,White,Single,Standard,47.6 CFM,23.2 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.31 mmH₂O
Thermalright TL-C12RB-S V2         (2),Thermalright,"TL-C12RB-S V2, C12RB-S V2 D6-Y, C12RB-S V2 D6-DE, C12RB-S V2 D6",120 mm,Black / White,Single,Reverse,58 CFM,25.6 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.53 mmH₂O
NZXT F RGB Core 2-Pack         (4),NZXT,"RF-C14HF-B1, RF-C14DF-B1",140 mm,Black,2-Pack,Standard,24.85 - 89.48 CFM,20 - 32.5 dB,Yes,RGB,4-pin PWM + 4-pin 12V RGB,USB,3.39 mmH₂O
