name,Manufacturer,Part #,Tracking Method,Connection Type,Maximum DPI,Hand Orientation,Color
Razer DeathAdder V3 Pro Faker Edition         (1),Razer,RZ01-04630400-R3M1,Optical,"Wired, Wireless",30000,Right,Red / Black
Razer DeathAdder V3 HyperSpeed         (1),Razer,"RZ01-05140100-R3U1, RZ01-05140100-R3G1, RZ01-05140100-R3A1",Optical,"Wired, Wireless",26000,Right,Black
Logitech G203 Lightsync         (12),Logitech,910-005791,Optical,Wired,8000,Right,White
Corsair HARPOON RGB PRO         (22),Corsair,CH-9301111-NA,Optical,Wired,12000,Right,Black
Redragon M656         (0),Redragon,M656,Optical,Wireless,4000,Right,Red
Lenovo GX30M39704 300         (1),Lenovo,GX30M39704,Laser,Wired,,Both,Black / Orange
SteelSeries Aerox 3 (2022)         (0),SteelSeries,62608,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,White
Corsair NIGHTSWORD RGB         (21),Corsair,CH-9306011-NA,Optical,Wired,18000,Right,Black
Logitech MX MASTER 3S         (4),Logitech,910-006558,Optical,Wireless,8000,Right,White
Razer Viper V2 Pro         (6),Razer,RZ01-04390100-R3U1,Optical,Wireless,30000,Right,Black
Asus ROG HARPE ACE AIM LAB EDITION         (2),Asus,"P713 ROG HARPE ACE AIM LAB EDITION/BLK, 90MP02W0-BMAA00, 90mp02w0-bmua00",Optical,"Wired, Wireless",36000,Right,Black
Razer Basilisk V3 Pro 35K         (0),Razer,RZ01-05240200-R3U1,Optical,,35000,Right,White
Razer Cobra         (1),Razer,RZ01-04650100-R3U1,Optical,Wired,8500,Right,Black
Logitech G502 X         (2),Logitech,910-006144,Optical,Wired,25600,Right,White
Verbatim 70233         (0),Verbatim,70233,Optical,Wired,,Both,Blue / Black
Razer Viper Mini         (30),Razer,"RZ01-03250100-R3U1, RZ01-03250100-R3M1, RZ01-03250100",Optical,Wired,8500,Right,Black
Corsair M65 RGB ULTRA WIRELESS         (3),Corsair,"CH-9319411-NA, CH-9319411-NA2, CH-9319411-EU, CH-9319411-EU2, CH-9319411-AP2, CH-9319411-AP",Optical,Wireless,26000,Right,Black / Silver
Endgame Gear OP1 8k         (1),Endgame Gear,EGG-OP1-8K-BLK,Optical,Wired,26000,Right,Black
