name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
Asus Prime AP201         (53),Asus,"AP201/BLK/MESH//, 90DC00G0-B38000, PRIME-AP201-BK, 90DC00G0-B39000",MicroATX Mini Tower,Black,None,Mesh,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","338 mm / 13.307""","3 x Internal 3.5"", 1 x Internal 2.5""",4 x Full-Height,"350 mm x 205 mm x 460 mm, 13.78"" x 8.071"" x 18.11""","33.005 L, 1.166 ft³"
Fractal Design Terra         (21),Fractal Design,FD-C-TER1N-03,Mini ITX Desktop,Green / Brown,None,Mesh,No,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A",Mini ITX,"322 mm / 12.677""","2 x Internal 2.5""",3 x Full-Height via Riser,"343 mm x 153 mm x 218 mm, 13.504"" x 6.024"" x 8.583""","11.44 L, 0.404 ft³"
Lian Li LANCOOL 217         (0),Lian Li,LAN217X,ATX Mid Tower,Black / Brown,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX, SSI EEB","380 mm / 14.961""","1 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"482 mm x 238 mm x 503 mm, 18.976"" x 9.37"" x 19.803""","57.702 L, 2.038 ft³"
Deepcool CH160         (7),Deepcool,R-CH160-BKNGI0-G-1,Mini ITX Desktop,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",Mini ITX,"305 mm / 12.008""","1 x Internal 3.5""",3 x Full-Height,"336 mm x 200 mm x 283.5 mm, 13.228"" x 7.874"" x 11.161""","19.051 L, 0.673 ft³"
Fractal Design Pop Mini Air         (35),Fractal Design,FD-C-POR1M-06,MicroATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","365 mm / 14.37""","2 x External 5.25"", 2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"432 mm x 215 mm x 393 mm, 17.008"" x 8.465"" x 15.472""","36.502 L, 1.289 ft³"
NZXT H6 Flow RGB         (14),NZXT,CC-H61FW-R1,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³"
NZXT H9 Elite         (4),NZXT,CM-H91EB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"466 mm x 290 mm x 495 mm, 18.346"" x 11.417"" x 19.488""","66.894 L, 2.362 ft³"
Fractal Design North XL         (4),Fractal Design,FD-C-NOR1X-01,ATX Full Tower,Black,None,Mesh,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","380 mm / 14.961"" With Drive Cages, 413 mm / 16.26"" Without Drive Cages","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"503 mm x 240 mm x 509 mm, 19.803"" x 9.449"" x 20.039""","61.446 L, 2.17 ft³"
NZXT H9 Elite         (15),NZXT,CM-H91EW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"466 mm x 290 mm x 495 mm, 18.346"" x 11.417"" x 19.488""","66.894 L, 2.362 ft³"
Zalman T3 PLUS         (2),Zalman,T3 PLUS,MicroATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","290 mm / 11.417""","1 x Internal 3.5"", 1 x Internal 2.5""",4 x Full-Height,"355 mm x 206 mm x 422 mm, 13.976"" x 8.11"" x 16.614""","30.861 L, 1.09 ft³"
Lian Li O11 Dynamic EVO XL         (1),Lian Li,"O11DEXL-W, PC-O11DEXL-W",ATX Full Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","460 mm / 18.11""","4 x Internal 3.5"", 3 x Internal 2.5""",8 x Full-Height,"522 mm x 304 mm x 531.9 mm, 20.551"" x 11.969"" x 20.941""","84.406 L, 2.981 ft³"
NZXT H6 Flow RGB         (13),NZXT,CC-H61FB-R1,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³"
