name,url,brand,image,price,shipping,features
MSI Aegis RS2 Series Gaming Desktop PC Intel Core Ultra 7 265K 32GB DDR5 2 TB SSD GeForce RTX 5070 Ti Windows 11 Home (Aegis RS2 AI C2NVR7-1296US),https://www.newegg.com/global/jp-en/msi-gaming-desktop-pc-geforce-rtx-5070-ti-intel-core-ultra-7-265k-32gb-ddr5-2tb-ssd-aegis-rs2-ai-c2nvr7-1296us/p/N82E16883151615,MSI,https://c1.neweggimages.com/productimage/nb300/83-151-614-10.jpg,"¥395,552 –","¥23,651 Shipping",GPU/VGA Type: GeForce RTX 5070 Ti | CPU Name: Intel Core Ultra 7 265K | Memory Capacity: 32GB DDR5 | SSD: 2TB | Model #: Aegis RS2 AI C2NVR7-1296US
MSI Gaming Desktop PC Aegis Z2 A8NVP-1447US AMD Ryzen 7 8700F 32GB DDR5 1TB NVMe SSD GeForce RTX 5070 Windows 11 Home Advance,https://www.newegg.com/global/jp-en/msi-gaming-desktop-pc-geforce-rtx-5070-amd-ryzen-7-8700f-32gb-ddr5-1tb-nvme-ssd-aegis-z2-a8nvp-1447us/p/N82E16883151622,MSI,https://c1.neweggimages.com/productimage/nb300/83-151-622-04.jpg,"¥293,464 –","¥14,653 Shipping",GPU/VGA Type: GeForce RTX 5070 | CPU Name: AMD Ryzen 7 8700F | Memory Capacity: 32GB DDR5 | SSD: 1TB NVMe | Model #: Aegis Z2 A8NVP-1447US
MSI Gaming Desktop PC Aegis ZS2 C9NVP-1448US AMD Ryzen 7 9700X 32GB DDR5 2TB NVMe SSD GeForce RTX 5070 Windows 11 Home Advance,https://www.newegg.com/global/jp-en/msi-gaming-desktop-pc-geforce-rtx-5070-amd-ryzen-7-9700x-32gb-ddr5-2tb-nvme-ssd-aegis-rs2-ai-c2nvp7-1445us/p/N82E16883151619,MSI,https://c1.neweggimages.com/productimage/nb300/83-151-619-03.png,"¥355,752 –","¥14,653 Shipping",GPU/VGA Type: GeForce RTX 5070 | CPU Name: AMD Ryzen 7 9700X | Memory Capacity: 32GB DDR5 | SSD: 2TB NVMe | Model #: Aegis ZS2 C9NVP-1448US
"MSI Infinite (Tower) Gaming Desktop ,Intel Ultra9 285K, GeForce RTX 5090 Liquid, DDR5 6000 64GB(32GB*2), Gen 5 2TB M.2 NVMe, 360  Liquid Cooling, 1300W, USB Type-C, VR-Ready, Windows 11 Pro High-End",https://www.newegg.com/global/jp-en/msi-infinite-rs-gaming-desktop-geforce-rtx-5090-liquid-intel-core-ultra-9-285k-64gb-ddr5-2tb-m-2-nvme-gen5-ssd-ai-2nvz9-1291us-black/p/N82E16883151592,MSI,https://c1.neweggimages.com/productimage/nb300/83-151-592-04.png,"¥1,103,202 –","¥30,272 Shipping",GPU/VGA Type: GeForce RTX 5090 LIQUID | CPU Name: Intel Core Ultra 9 285K | Memory Capacity: 64GB DDR5 (2 x 32GB) | SSD: 2TB M.2 NVMe Gen5 | Model #: Infinite RS AI 2NVZ9-1291US
ASUS Gaming Desktop PC G22CH-DS774S Intel Core i7-14700F 16GB DDR5 1TB SSD GeForce RTX 4070 SUPER Windows 11 Home,https://www.newegg.com/global/jp-en/asus-gaming-desktop-pc-geforce-rtx-4070-super-intel-core-i7-14700f-16gb-ddr5-1tb-ssd-g22ch-ds774s-gray/p/N82E16883221806,ASUS,https://c1.neweggimages.com/productimage/nb300/83-221-806-13.jpg,"¥284,741 –","¥17,490 Shipping","Power Supply: 600W power supply (80+ Gold, peak 600W) | LAN Speed: 2.5Gbps | WiFi Generation: Wi-Fi 6 | Dimensions (H x W x D): 11.3"" x 4.53"" x 12.72"" | Model #: G22CH-DS774S"
"Acer Nitro 60 Gaming Desktop PC, Intel Core i7-14700F, GeForce RTX 4060, 32GB DDR5, 2TB PCIe Gen 4 SSD, Windows 11 Home, N60-640-UR13",https://www.newegg.com/global/jp-en/acer-nitro-60-gaming-desktop-geforce-rtx-4060-intel-core-i7-14700f-32gb-ddr5-2tb-pcie-ssd-n60-640-ur13/p/N82E16883101921,Acer America,https://c1.neweggimages.com/productimage/nb300/83-101-920-01.jpg,"¥259,649 –","¥14,823 Shipping","Power Supply: 650W 80 Plus Gold | WiFi Generation: Realtek 802.11ac supporting dual-stream 2.4GHz and 5GHz bands | Dimensions (H x W x D): 15.90"" x 8.50"" x 14.90"" | Graphics: NVIDIA GeForce RTX 4060 8 GB GDDR6 | Model #: DG.E4BAA.004"
"MSI Vision Elite(Tower) Gaming Desktop,Intel Ultra9 285K , RTX 5090,  DDR5 6000 RGB 64GB Memory (32GB x 2), Gen 4 2TB M.2 NVMe,1300W USB Type-C, VR-Ready, Windows 11 Pro highend",https://www.newegg.com/global/jp-en/msi-vision-elite-rs-gaming-desktop-geforce-rtx-5090-intel-core-ultra-9-285k-64gb-ddr5-rgb-2tb-m-2-nvme-gen5-ssd-ai-2nvz9-1288us-black/p/N82E16883151594,MSI,https://c1.neweggimages.com/productimage/nb300/83-151-594-02.jpg,"¥1,067,609 –","¥30,727 Shipping",GPU/VGA Type: GeForce RTX 5090 | CPU Name: Intel Core Ultra 9 285K | Memory Capacity: 64GB DDR5 (2 x 32GB) RGB | SSD: 2TB M.2 NVMe Gen5 | Model #: Vision Elite RS AI 2NVZ9-1288US
"ZOTAC MEK AI-Enhanced Gaming PC Desktop Computer - NVIDIA GeForce RTX 3050, AMD Ryzen 5 5500 4.2GHz, 16GB DDR4, 500GB NVME M.2 SSD, 650W 80+ GOLD PSU, WiFi 6E, Windows 11 Home 64-bit",https://www.newegg.com/global/jp-en/zotac-gaming-desktop-geforce-rtx-3050-amd-ryzen-5-5500-16gb-ddr4-500gb-pcie-ssd-mek3050a5500bg0/p/N82E16883218099,ZOTAC,https://c1.neweggimages.com/productimage/nb300/83-218-099-06.jpg,"¥121,015 –","¥13,507 Shipping",GPU/VGA Type: GeForce RTX 3050 | CPU Name: AMD Ryzen 5 5500 | Memory Capacity: 16GB DDR4 | SSD: 500GB NVMe | Model #: MEK3050A5500BG0
"ZOTAC MEK AI Enhanced Gaming Desktop PC, AMD Ryzen 5 5500, Nvidia GeForce RTX 4060, 16GB DDR4 RGB, 1TB NVMe M.2 SSD, Windows 11 Home 64-bit, MEK4060A55003V1",https://www.newegg.com/global/jp-en/mek-hero-gaming-desktop-pc-geforce-rtx-4060-amd-ryzen-5-5500-16gb-ddr4-1tb-nvme-ssd-mek4060a55003v1-black/p/N82E16883218101,ZOTAC,https://c1.neweggimages.com/productimage/nb300/83-218-101-07.jpg,"¥151,269 –","¥15,161 Shipping",GPU/VGA Type: GeForce RTX 4060 | CPU Name: AMD Ryzen 5 5500 | Memory Capacity: 16GB DDR4 | SSD: 1TB NVMe | Model #: MEK4060A55003V1
"Acer Nitro 50 Gaming Desktop PC, Intel Core i5-14400F, GeForce RTX 4060, 16GB DDR5, 1 TB PCIe SSD, Windows 11 Home, N50-656-UR15",https://www.newegg.com/global/jp-en/acer-nitro-50-gaming-desktop-geforce-rtx-4060-intel-core-i5-14400f-16gb-ddr5-1tb-pcie-ssd-n50-656-ur15/p/N82E16883101910,Acer America,https://c1.neweggimages.com/productimage/nb300/83-101-909-05.jpg,"¥233,893 –","¥12,710 Shipping","Power Supply: 500W 80 Plus Gold | LAN Speed: Realtek 8118AS Dragon Gigabit Ethernet | WiFi Generation: Wi-Fi 6E | Dimensions (H x W x D): 15.43"" x 6.89"" x 15.20"" | Model #: DG.E3VAA.002"
"Acer Aspire Desktop Computer Intel Core i5-14400, Intel UHD Graphics 730, 8GB DDR5, 512 GB PCIe SSD, Windows 11 Home 64-bit - TC-1775-UR11",https://www.newegg.com/global/jp-en/p/N82E16883101919,Acer America,https://c1.neweggimages.com/productimage/nb300/83-101-919-01.png,"¥101,119 –","¥11,448 Shipping","Type: Student / Home Office | LAN Speed: 10/100/1000Mbps | WLAN: Intel Wireless Wi-Fi 6E AX211 (Gig+) supports dual-stream Wi-Fi in the 2.4 GHz, 5 GHz and 6 GHz bands, including UL MU-MIMO | Part Number: DT.BLRAA.001 | Model #: DT.BLRAA.001"
MSI Aegis RS2 Series Gaming Desktop PC Intel Core Ultra 9 285K 32GB DDR5 2 TB SSD GeForce RTX 5070 Ti Windows 11 Home (Aegis RS2 AI C2NVR9-1295US),https://www.newegg.com/global/jp-en/msi-gaming-desktop-pc-geforce-rtx-5070-ti-intel-core-ultra-9-285k-32gb-ddr5-2tb-ssd-aegis-rs2-ai-c2nvr9-1295us/p/N82E16883151614,MSI,https://c1.neweggimages.com/productimage/nb300/83-151-614-10.jpg,"¥417,577 –","¥23,085 Shipping",GPU/VGA Type: GeForce RTX 5070 Ti | CPU Name: Intel Core Ultra 9 285K | Memory Capacity: 32GB DDR5 | SSD: 2TB | Model #: Aegis RS2 AI C2NVR9-1295US
